text,polarity,emotion,tone,intensity
I am truly impressed,positive,happiness,professional,0.88
This is a fantastic experience!!! accordingly,positive,happiness,formal,0.9
This exceeded my expectations!!!,positive,surprise,professional,0.88
I regret buying this!!!,negative,sadness,casual,0.83
This exceeded my expectations.,positive,surprise,professional,0.88
This is absolutely frustrating accordingly,negative,anger,formal,0.97
I absolutely love this product!,positive,happiness,casual,0.88
The quality is awful.,negative,anger,professional,0.91
I am very satisfied with the result!!,positive,happiness,formal,0.92
The product is okay honestly,neutral,neutral,casual,0.43
Nothing special here!!!,neutral,neutral,casual,0.4
This is average!,neutral,neutral,professional,0.41
I am very disappointed!! therefore,negative,sadness,formal,0.92
This is absolutely frustrating. therefore,negative,anger,formal,0.98
I hate this so much!!,negative,anger,casual,0.94
I am very satisfied with the result!!!,positive,happiness,formal,0.89
This made me anxious!!!,negative,anxiety,casual,0.94
The quality is awful,negative,anger,professional,0.92
It works as expected!!!,neutral,neutral,formal,0.39
I regret buying this!!! bro,negative,sadness,casual,0.88
I feel stressed about this,negative,stress,casual,0.88
This made me anxious!!,negative,anxiety,casual,0.93
I hate this so much! lol,negative,anger,casual,0.97
Nothing special here!! really,neutral,neutral,casual,0.41
I regret buying this,negative,sadness,casual,0.82
I am very satisfied with the result!!!,positive,happiness,formal,0.9
I regret buying this!,negative,sadness,casual,0.84
I feel stressed about this.,negative,stress,casual,0.86
This exceeded my expectations!!,positive,surprise,professional,0.9
I absolutely love this product,positive,happiness,casual,0.91
This is a terrible experience sincerely,negative,stress,formal,0.92
I regret buying this!! really,negative,sadness,casual,0.86
The quality is awful!!!,negative,anger,professional,0.95
This exceeded my expectations!!!,positive,surprise,professional,0.91
Nothing special here!!!,neutral,neutral,casual,0.39
This is average,neutral,neutral,professional,0.38
I feel great about this! kinda,positive,happiness,casual,0.89
I am truly impressed!,positive,happiness,professional,0.82
The result is acceptable!! therefore,neutral,neutral,formal,0.4
This is a fantastic experience!!! accordingly,positive,happiness,formal,0.92
I hate this so much,negative,anger,casual,0.9
I regret buying this!!,negative,sadness,casual,0.88
This is average!!,neutral,neutral,professional,0.35
This is absolutely frustrating.,negative,anger,formal,0.95
The quality is awful!!!,negative,anger,professional,0.91
I am very disappointed. overall,negative,sadness,formal,0.89
The experience was ordinary,neutral,neutral,formal,0.38
The product is okay really,neutral,neutral,casual,0.41
This exceeded my expectations.,positive,surprise,professional,0.89
The product is okay.,neutral,neutral,casual,0.49
I am very satisfied with the result!! accordingly,positive,happiness,formal,0.83
It works as expected!!!,neutral,neutral,formal,0.45
The service was excellent.,positive,happiness,formal,0.93
This is absolutely frustrating!!!,negative,anger,formal,0.93
I regret buying this.,negative,sadness,casual,0.91
This exceeded my expectations!!,positive,surprise,professional,0.91
The service was excellent!!,positive,happiness,formal,0.9
The quality is awful,negative,anger,professional,0.9
This seems fine,neutral,neutral,casual,0.41
I hate this so much.,negative,anger,casual,0.92
I absolutely love this product.,positive,happiness,casual,0.9
This is a terrible experience!!!,negative,stress,formal,0.92
This is a terrible experience!! therefore,negative,stress,formal,0.95
This is a fantastic experience! sincerely,positive,happiness,formal,0.89
What a wonderful outcome!!,positive,surprise,formal,0.8
I regret buying this!! honestly,negative,sadness,casual,0.83
This is absolutely frustrating,negative,anger,formal,0.94
I am truly impressed!!,positive,happiness,professional,0.87
The experience was ordinary in my opinion,neutral,neutral,formal,0.42
The service was excellent! overall,positive,happiness,formal,0.94
This is absolutely frustrating!!!,negative,anger,formal,0.95
The quality is awful!!,negative,anger,professional,0.89
The service was excellent!!,positive,happiness,formal,0.88
I am very disappointed!!,negative,sadness,formal,0.92
This is a fantastic experience!!,positive,happiness,formal,0.89
I am very disappointed,negative,sadness,formal,0.93
This is absolutely frustrating. therefore,negative,anger,formal,0.95
I hate this so much bro,negative,anger,casual,0.97
I absolutely love this product.,positive,happiness,casual,0.9
I am very disappointed!,negative,sadness,formal,0.91
The quality is awful.,negative,anger,professional,0.89
This is a fantastic experience sincerely,positive,happiness,formal,0.91
I am very disappointed!,negative,sadness,formal,0.89
What a wonderful outcome!!,positive,surprise,formal,0.82
I am truly impressed,positive,happiness,professional,0.83
I am very disappointed!! in my opinion,negative,sadness,formal,0.87
This is a fantastic experience!!! accordingly,positive,happiness,formal,0.94
I absolutely love this product,positive,happiness,casual,0.87
I am truly impressed!,positive,happiness,professional,0.88
I absolutely love this product.,positive,happiness,casual,0.93
I regret buying this,negative,sadness,casual,0.91
This exceeded my expectations!!,positive,surprise,professional,0.86
What a wonderful outcome.,positive,surprise,formal,0.85
I regret buying this!!,negative,sadness,casual,0.87
The experience was ordinary,neutral,neutral,formal,0.38
The service was excellent,positive,happiness,formal,0.91
The service was excellent accordingly,positive,happiness,formal,0.93
This exceeded my expectations,positive,surprise,professional,0.87
I hate this so much!!! really,negative,anger,casual,0.94
I am truly impressed!,positive,happiness,professional,0.86
I am very disappointed!,negative,sadness,formal,0.91
